c_early,makespan,total_cost
0,203.90204577198597,567468.4335656705
0,236.70395494433583,541085.0269566459
0,220.72798151460154,552420.116481941
0,222.53907511986216,550472.8881881803
0,205.71835733794538,565643.366341379
0,218.2834184305897,553716.429521713
0,223.96293699952324,549300.1025640656
0,189.12458150027828,591394.8757155766
0,214.71746257533974,556894.8913908859
0,258.9017425972222,532936.9244323756
0,196.2882531056013,578409.0045463686
0,208.1507572431285,562900.0410288938
0,194.56547347576907,581594.1678828327
0,256.6469823568547,533690.2771905815
0,191.02430645144136,589254.4116372092
0,203.2894049191242,568415.4985668291
0,214.69972017930937,557100.6313910622
0,223.02895385557983,550047.3840304692
0,209.9204113926405,561184.1826143642
0,257.35971087502793,533459.0134901472
0,203.6686667408062,568255.0978589961
0,194.52403745942743,581688.8470421708
0,195.22355996559938,580508.7482921511
0,260.7779267563581,532664.4420331966
0,248.1734268870646,535771.268534205
0,213.65868117200029,557977.7139263642
0,199.0789541117382,574180.0762456111
0,215.61022058786216,555975.4594133021
0,200.61843467500637,571868.3143166879
0,217.49502209975708,554643.0917706306
0,186.26229582593757,599383.8037692735
0,195.9876504969208,578898.4949884862
0,213.82701957908327,557807.7228053053
0,204.34120886461463,567197.4989238619
0,232.4780628889072,543638.240876745
0,223.13455529558973,549941.1563207954
0,267.45783256707404,531084.0675032034
0,201.90591066620206,570285.9530654569
0,192.840981178287,585897.3070129922
0,246.25765984745357,536463.3011973004
0,221.59675779164382,551546.1616950952
0,266.7749203633083,531171.5658211156
0,222.28972581812374,551078.2244234248
0,230.79792240138198,544884.3441841409
0,231.10092985608654,544603.0141541885
0,217.664040261912,554070.7037427151
0,213.54281317655725,558139.9066546157
0,213.79770978133465,557816.2587008004
0,220.20249809543907,552631.0233567925
0,223.73867573599787,549432.2930182948
0,200.71887342880507,571560.7511542118
0,189.31352496625115,591058.4496405191
0,220.85202957411872,552080.0441353391
0,261.76730755594764,532274.5578578957
0,207.44994144713465,563494.8238135967
0,266.7852183446941,531166.8812327756
0,212.30974902561633,558752.7234800993
0,204.44573594986755,567196.3563388815
0,230.52555827709014,544980.7209168673
0,230.42084520848235,545069.8051222641
0,190.22893494137756,590018.780794046
0,245.59152741130023,536574.1643351663
0,201.43469847023235,570921.4960528121
0,223.60167380328843,549580.3258707097
0,207.97855153519245,563148.9513123293
0,201.55508185751452,570908.81868556
0,221.675800316815,551450.2517969571
0,208.77918326184226,562117.5933693496
0,187.0388628183077,597327.2467746618
0,192.197355381887,587131.2996577322
0,239.50452976152437,539145.0301024794
0,228.9965687938647,545804.7460270319
0,238.49949514809165,539798.2691612889
0,205.51442244546385,566048.6339293789
0,219.12674724764787,553323.5971853362
0,201.2345405155017,571216.1129873823
0,197.74595822286173,576360.7045076496
0,194.66326684411368,581373.1331812877
0,231.28908859608643,544419.9008421332
0,199.29347299016044,573880.2610430303
0,206.39422161299015,564806.4187373343
0,259.0494668009937,532784.1451626741
0,233.71936122223147,542954.479462675
0,196.83987371764178,577139.5034878324
0,188.8882625724047,592809.0503243249
0,237.5975038112671,540699.8991573626
0,205.38004832686704,566052.218885229
0,205.0962436312593,566265.5526657493
0,201.62808235666452,570755.2026805457
0,192.49449001054379,586473.0663179806
0,199.86556239629928,572728.4174321981
0,232.76055320131306,543357.9251732881
0,201.99857229953324,570050.2515668105
0,259.9136560843947,532678.6699140192
0,241.77161819898234,538341.5432568984
0,220.85506185905993,552057.0755392422
0,232.0027406746551,543966.193381486
0,261.7778909991249,532262.0801777628
0,201.32775380142323,571082.9419896015
0,198.5182312837093,574703.8025529837
0,192.3371110829844,587007.4371998254
0,236.16634464349133,541402.4100708251
0,193.2222736666984,585553.5842143492
0,202.7201071495139,569216.7964124377
0,205.19502273211248,566177.3194550022
0,198.98991738916243,574269.8819457386
0,260.8699312106379,532519.1797836621
0,231.527991891215,544233.8283499386
0,210.25141997081377,560595.2058490121
0,260.83917916806246,532565.9824866687
0,205.18786481916794,566208.4164780534
0,205.59043481531873,565770.3162363919
0,237.65905691876085,540561.9496469209
0,205.63046588897086,565673.8913390534
0,197.83326609572316,575724.6143581726
0,191.7137618796243,588054.1841453029
0,191.57146918212507,588400.5782660904
0,210.24282349345143,560834.1846713395
0,197.25140199117757,577125.4596994587
0,240.286128222701,538494.4976319432
0,192.1974807458248,587131.1533341203
0,214.77485107413176,556724.0414562997
0,199.19718068914798,573893.32840089
0,203.47592769663595,568372.2977168164
0,223.99411613898187,549194.2909667785
0,212.34739392411822,558316.9701194694
0,200.48379090418243,572127.6694506591
0,250.48628588451697,535069.953274948
0,258.9933241502565,532834.2322723002
0,226.48860413061794,547520.470095119
0,198.34455931729747,575194.8515449071
0,202.2513737709526,569982.6021150069
0,263.67629903089716,531699.7295936794
0,255.7197751418961,533898.8167647484
0,227.41401015801418,546179.7992113532
0,224.36044738512888,548931.9716479966
0,190.73909445998592,589867.9178694591
0,194.83406509114982,580989.2975367461
0,216.18621926547164,555267.7191622367
0,192.19210090503873,587295.9331867236
0,196.43416457160734,578122.1100700453
0,223.09301714897433,550047.1266650517
0,194.23007189858245,583494.70072995
0,217.211469827049,554783.885632266
0,188.9010236582465,591660.8634259608
0,249.14291437155921,535480.0489469997
0,229.94296501203078,545082.5664991913
0,256.3915849669635,533761.3486379224
0,191.2666758115608,588498.731035961
0,234.51106856605674,542090.5697878986
0,201.56101077142776,570843.8573836456
0,211.4238496800522,559562.8307194103
0,209.60125820218425,561315.284892501
0,257.67603684612965,533206.9654756717
0,221.94884749394518,551422.9881600089
0,229.2327482471144,545751.9906770852
0,222.49243822901715,550474.0802118626
0,217.72450631792748,554051.1137743577
0,213.66521559637616,557950.3298692029
0,245.61606928953648,536539.1326906409
0,226.89596937681972,547497.9148038572
0,216.25297212555537,555249.7099768476
0,258.4121582514275,533164.736258016
0,223.57176797268983,549584.6144548417
0,199.13766878541986,574029.5005774635
0,265.3364509960739,531392.5292501216
0,219.83301379722835,552826.9464790983
0,193.43910961597308,584317.0559891986
0,192.76992337787613,585927.2797055425
0,241.90329731682752,538174.8514178422
0,257.84290624577636,533185.1108292437
0,226.18474848912211,547592.0073464736
0,267.2217232583182,531158.1981559815
0,187.53888135312923,595685.6518323532
0,224.23183598774065,548978.8979501833
0,245.58473966510923,536609.655950548
0,226.01370011601423,547784.7729752371
0,251.3099692107701,534888.6150213426
0,241.72486644920187,538373.0755166948
0,233.8292212795729,542440.5497164323
0,203.231012277859,568790.1041165316
0,208.8555638204754,562034.3109149246
0,206.08064343302183,564841.8108593124
0,186.6724095536801,598046.0569772426
0,197.3403107476057,576712.4607597521
0,207.66910540279812,563340.1502932147
0,238.61100157789377,539372.9827587572
0,242.6328526040854,537787.6461107298
0,206.51805808818543,564594.6858323081
0,245.25026727973753,536700.2029496427
0,252.92813805126008,534517.6363261894
0,188.3815152093574,593361.0031905638
0,238.17832012320744,539919.5118363125
