alpha,makespan,labor_cost
0.6,249.78625227431397,547356.0168051457
0.6,274.61156482195145,536329.2113478337
0.6,206.6494954145045,594099.398088302
0.6,204.32810594598442,596802.6554297386
0.6,195.90994943870163,612485.9007894082
0.6,270.4665944103185,537567.099141686
0.6,199.8689606605079,605599.7411522026
0.6,208.35624943122,592426.1580238281
0.6,265.15601768618563,539895.8599903204
0.6,187.96797675566265,638765.1512034093
0.6,244.7903319067165,550996.0183168481
0.6,189.31754952960432,632003.8595140914
0.6,192.72803193711735,621457.635496675
0.6,207.14663643215508,593066.1939515513
0.6,250.7881343814377,547211.9506339541
0.6,192.3042341749362,622929.0709677325
0.6,202.4618241969062,599835.5202183779
0.6,188.90051787086878,633009.1504524942
0.6,215.05677014031423,582376.4597204927
0.6,188.76099328688096,633902.334681307
0.6,204.6605468517694,596180.5036905596
0.6,200.09211207314598,604208.6752644228
0.6,220.89342343962034,575001.4542821104
0.6,273.76938343723333,536551.637567929
0.6,196.23351117066773,611643.3756169137
0.6,221.25655163314084,574362.5674507282
0.6,190.3468361871512,629674.1316743905
0.6,200.43340224962577,603524.2687551405
0.6,202.06735426205807,600700.9691325844
0.6,187.26917956834887,641769.3129877306
0.6,271.98087814440333,537320.1691461207
0.6,187.16099687111907,643050.5572674874
0.6,264.462420201535,540186.2161284725
0.6,269.07899308829906,538116.5198633561
0.6,196.60138140407454,611042.1290246423
0.6,208.58008997061359,591547.5225632802
0.6,218.90712534892515,577617.3638761776
0.6,201.73469813925823,601585.5084983972
0.6,251.28520987589567,546493.4314776761
0.6,205.04704813704618,596138.8068792564
0.6,193.96833308281322,618498.0060231308
0.6,227.94940959856342,566812.214034744
0.6,198.8300347954121,606539.3747794094
0.6,194.87795144637502,615686.5144298834
0.6,244.41887955763872,551423.0508060782
0.6,205.762269990287,594450.8507721152
0.6,191.09731806544966,627019.4897937012
0.6,218.2905171416433,578341.7102576096
0.6,215.33561276439954,582008.2311954752
0.6,247.25984737798075,549204.0972935208
0.6,196.71721283210053,610604.0040880346
0.6,230.91695447395963,563740.2309759716
