beta,makespan,labor_cost
0.3,206.05104712866145,573728.2769916101
0.3,207.33531172212963,568764.9485010931
0.3,196.30904442769895,618067.7859246116
0.3,216.57650195202172,553742.0339448114
0.3,200.1030929797705,597451.4463342174
0.3,198.25301554846965,606502.7042454713
0.3,198.90539431127408,603061.1174580471
0.3,206.8207143497593,570683.5030814738
0.3,195.91952289211767,619846.2983413934
0.3,197.51731384550376,610286.2885312405
0.3,210.92145150240825,560249.8590532059
0.3,203.3574253315276,583557.8148849413
0.3,232.0461187521933,542750.244103309
0.3,200.7042024274059,594844.7650563156
0.3,203.23163382100032,584192.4009500572
0.3,207.62985607938427,567581.4904920014
0.3,201.44198731313276,591746.9679664943
0.3,206.12771384576465,573312.0396909011
0.3,201.88932270208278,589778.9865120691
0.3,199.37306800279845,600765.0379037085
0.3,203.48067556598187,583011.3497623219
0.3,197.6860918567221,609589.2180149455
0.3,227.96589040392405,545157.9393505834
0.3,198.1041900035703,607613.4642767971
0.3,207.1221010231205,569567.5859175863
0.3,203.4760677281345,583029.293537042
0.3,199.2307344938123,601491.2635957074
0.3,212.59427346005396,558235.6892291964
0.3,204.0699346418988,580853.4668900401
0.3,200.46429097819052,595759.4506994307
0.3,207.38412780353676,568378.0454976489
0.3,208.21760027416732,566291.23542314
0.3,228.21917130756194,544894.6996044595
0.3,203.588018111903,582630.3826570621
0.3,227.99060851309693,545105.2369957248
0.3,226.4325613358829,546226.5701379355
0.3,198.16611767854556,607110.5660067745
0.3,200.76431484270066,594459.4891588057
0.3,206.20951303235103,573021.2190736993
0.3,203.27848486214666,583931.7694030958
0.3,208.72730430615462,564715.9456534126
0.3,199.9116185410295,598435.218429879
0.3,209.17122846260241,563624.7483672112
0.3,207.01463063847714,570223.5416314183
0.3,199.79171786233985,598957.2974064942
0.3,215.31475033626725,554839.6818750557
0.3,205.4071027734471,575816.2229959196
0.3,203.26338957134925,584050.2608595113
0.3,203.63188189184305,582338.8803218745
0.3,200.76423109981963,594627.9324593879
0.3,198.6211786475015,604824.8694940722
0.3,202.26945872524237,588123.5227561616
0.3,205.38073757274393,575921.4370270667
0.3,196.60002896473026,615944.5995587581
0.3,205.6856483112957,574750.8105145888
0.3,205.95336528869433,573890.5441899105
0.3,197.96108825146803,608034.7876665154
0.3,207.28206785046345,569005.7753431365
0.3,199.79807276745987,598936.546165495
0.3,215.4824646998838,554757.3948483737
0.3,202.10942949188302,588901.6895544664
0.3,197.54511171737482,610164.9854756882
0.3,196.9381132563776,613841.3094479279
0.3,200.8396457872986,594223.885551163
0.3,198.41271281502816,606045.9552009989
0.3,200.82706631940874,594261.7709138453
0.3,203.04757849620287,585252.5702251208
0.3,206.2795919615343,572674.8377664794
0.3,199.2781708932995,601379.7613220634
0.3,201.95998337698617,589543.5079050292
0.3,208.23131050950332,565800.3215359012
0.3,207.36260468036664,568703.3504991625
0.3,195.5161947012038,623365.4720141967
0.3,206.2281293079352,572904.9207506925
0.3,201.89591888918892,589665.228706016
0.3,205.37374748463915,576026.1912234422
0.3,206.66395711975585,571239.8396039202
0.3,206.84363627838985,570609.4184827793
0.3,196.35787427343834,618008.615675873
0.3,202.29130891718847,587994.1073465501
