c_late,c_early,makespan,total_crash_cost,penalty_applied,bonus_applied,net_cost,status,makespan_raw
101.01010101010101,444.4444444444444,305,5480.8,0.0,17333.333333333332,-11852.533333333333,OPTIMAL,305
101.01010101010101,464.6464646464646,293,10885.2,0.0,23696.969696969696,-12811.769696969695,OPTIMAL,293
101.01010101010101,484.8484848484848,293,10885.2,0.0,24727.272727272724,-13842.072727272724,OPTIMAL,293
101.01010101010101,505.050505050505,293,10885.2,0.0,25757.575757575756,-14872.375757575755,OPTIMAL,293
101.01010101010101,525.2525252525252,293,10885.2,0.0,26787.878787878784,-15902.678787878784,OPTIMAL,293
101.01010101010101,545.4545454545454,293,10885.2,0.0,27818.181818181816,-16932.981818181815,OPTIMAL,293
101.01010101010101,565.6565656565656,293,10885.2,0.0,28848.484848484844,-17963.284848484844,OPTIMAL,293
101.01010101010101,585.8585858585858,293,10885.2,0.0,29878.787878787876,-18993.587878787876,OPTIMAL,293
101.01010101010101,606.060606060606,276,21085.2,0.0,41212.12121212121,-20126.921212121208,OPTIMAL,276
101.01010101010101,626.2626262626262,276,21085.2,0.0,42585.85858585858,-21500.65858585858,OPTIMAL,276
101.01010101010101,646.4646464646464,276,21085.2,0.0,43959.59595959596,-22874.395959595957,OPTIMAL,276
101.01010101010101,666.6666666666666,276,21085.2,0.0,45333.33333333333,-24248.133333333328,OPTIMAL,276
101.01010101010101,686.8686868686868,276,21085.2,0.0,46707.07070707071,-25621.870707070706,OPTIMAL,276
101.01010101010101,707.070707070707,276,21085.2,0.0,48080.80808080808,-26995.608080808077,OPTIMAL,276
101.01010101010101,727.2727272727273,257,34765.2,0.0,63272.72727272727,-28507.527272727275,OPTIMAL,257
101.01010101010101,747.4747474747475,257,34765.2,0.0,65030.30303030303,-30265.103030303035,OPTIMAL,257
101.01010101010101,767.6767676767677,257,34765.2,0.0,66787.87878787878,-32022.678787878787,OPTIMAL,257
101.01010101010101,787.8787878787879,257,34765.2,0.0,68545.45454545454,-33780.25454545455,OPTIMAL,257
101.01010101010101,808.0808080808081,257,34765.2,0.0,70303.0303030303,-35537.83030303031,OPTIMAL,257
101.01010101010101,828.2828282828282,257,34765.2,0.0,72060.60606060605,-37295.40606060605,OPTIMAL,257
101.01010101010101,848.4848484848484,256,35613.2,0.0,74666.66666666666,-39053.46666666666,OPTIMAL,256
101.01010101010101,868.6868686868686,252,39037.2,0.0,79919.19191919192,-40881.99191919192,OPTIMAL,252
101.01010101010101,888.8888888888888,252,39037.2,0.0,81777.77777777777,-42740.57777777777,OPTIMAL,252
101.01010101010101,909.090909090909,252,39037.2,0.0,83636.36363636363,-44599.163636363635,OPTIMAL,252
101.01010101010101,929.2929292929292,252,39037.2,0.0,85494.94949494948,-46457.74949494949,OPTIMAL,252
101.01010101010101,949.4949494949494,252,39037.2,0.0,87353.53535353535,-48316.33535353535,OPTIMAL,252
101.01010101010101,969.6969696969696,252,39037.2,0.0,89212.1212121212,-50174.921212121204,OPTIMAL,252
