beta,makespan,labor_cost,total_cost
0.6,224.23891533684474,567329.1267987317,567329.1267987317
0.6,248.0217171763025,532353.2073675833,532353.2073675833
0.6,270.94551894158434,512360.3210031025,512360.3210031025
0.6,253.37915205058883,526262.6678737476,526262.6678737476
0.6,228.39322082927401,557048.7770709913,557048.7770709913
0.6,253.4199337377396,526209.3550878931,526209.3550878931
0.6,236.15786311360858,546398.6360555149,546398.6360555149
0.6,248.30719450747478,531917.4576598649,531917.4576598649
0.6,231.66910773403848,552390.9640094726,552390.9640094726
0.6,223.2214952135685,570736.9978265599,570736.9978265599
0.6,278.1040632933361,508376.6960893506,508376.6960893506
0.6,252.76361545684037,527018.1919479605,527018.1919479605
0.6,259.37606283547893,520164.73603361944,520164.73603361944
0.6,234.84401663774864,548039.2798474727,548039.2798474727
0.6,290.18561602667734,504785.6403271698,504785.6403271698
0.6,224.20736231489462,568477.0403333792,568477.0403333792
0.6,229.72386927635034,555466.4108322272,555466.4108322272
0.6,270.9659080383022,512342.25098642753,512342.25098642753
0.6,273.2721966975316,511065.6546423286,511065.6546423286
0.6,248.7592426376594,531546.2160100039,531546.2160100039
0.6,279.53835839441064,507890.56112377584,507890.56112377584
0.6,239.030281219476,542809.5481592581,542809.5481592581
0.6,261.1561994811044,518547.41631402867,518547.41631402867
0.6,244.7686188256641,535641.6221080939,535641.6221080939
0.6,255.0228589494482,524684.7576523745,524684.7576523745
0.6,257.8255241095628,521653.17176083376,521653.17176083376
0.6,237.2092253087333,545177.7637220442,545177.7637220442
0.6,245.7554513093161,534583.9282396063,534583.9282396063
0.6,227.65844171342408,559324.4233158047,559324.4233158047
0.6,229.78121496012682,555074.1482163859,555074.1482163859
0.6,282.81571682873886,506829.75496446725,506829.75496446725
0.6,224.4657843975652,566311.2874834724,566311.2874834724
0.6,255.1817048254113,524615.2079264697,524615.2079264697
0.6,284.10811250043383,506265.39251907123,506265.39251907123
0.6,247.9447788011543,532359.0208960745,532359.0208960745
0.6,248.1632962074472,532292.8427604483,532292.8427604483
0.6,240.78453454785142,540155.0338979636,540155.0338979636
0.6,230.5980716935155,553995.089346576,553995.089346576
0.6,252.08370725110638,527506.8805004209,527506.8805004209
0.6,230.03303739974191,554747.8488318112,554747.8488318112
0.6,289.06415202115704,505024.8180064619,505024.8180064619
0.6,243.4126523644979,537325.4290057288,537325.4290057288
0.6,243.41547594258728,537268.1073544447,537268.1073544447
0.6,234.10755975521494,549098.3063320715,549098.3063320715
0.6,255.58607880971167,524053.9264802714,524053.9264802714
0.6,287.5888123826466,505507.3966190901,505507.3966190901
0.6,238.79227792354428,543014.6392512498,543014.6392512498
0.6,241.92584656606485,538943.5184867266,538943.5184867266
0.6,279.45737104458885,507903.23935076635,507903.23935076635
0.6,273.389833096534,510945.7188529909,510945.7188529909
0.6,239.58333257510316,542220.9773336113,542220.9773336113
0.6,291.21874087628186,504607.2229942662,504607.2229942662
0.6,254.9242781884192,524799.3849800115,524799.3849800115
0.6,242.75688206345262,538167.8892892557,538167.8892892557
0.6,246.92343224532894,533071.9775848592,533071.9775848592
