alpha,makespan,labor_cost,total_cost
0.3,278.10673126056577,534958.7738399713,534958.7738399713
0.3,243.10187379118653,607845.4766296664,607845.4766296664
0.3,300.4003245502554,513496.55000845436,513496.55000845436
0.3,287.52401450279837,523802.53585254657,523802.53585254657
0.3,252.32110208514644,577781.9044008439,577781.9044008439
0.3,261.0162179151137,560592.9147853676,560592.9147853676
0.3,272.472963867885,542661.9927718356,542661.9927718356
0.3,272.46175824599845,542825.0754881296,542825.0754881296
0.3,258.3374272726407,564969.4588763902,564969.4588763902
0.3,272.2136356891106,543343.2150469341,543343.2150469341
0.3,308.44594081312755,509291.2326986427,509291.2326986427
0.3,281.1924358335456,531099.0367872622,531099.0367872622
0.3,275.9964029903518,537722.111052423,537722.111052423
0.3,272.74738092190125,542165.0292256331,542165.0292256331
0.3,264.0921813240529,555848.2344642056,555848.2344642056
0.3,251.03471294111748,580423.7883530846,580423.7883530846
0.3,296.759189771898,515755.99202580645,515755.99202580645
0.3,279.6297193815985,532902.6151676436,532902.6151676436
0.3,308.27150641330155,509486.6611068223,509486.6611068223
0.3,257.9290739139392,565544.007749015,565544.007749015
0.3,269.58469622017236,547664.7173738994,547664.7173738994
0.3,242.00471564615907,612993.9668769792,612993.9668769792
0.3,264.6815100581139,554399.6391363728,554399.6391363728
0.3,255.46768507323551,570794.1093157639,570794.1093157639
0.3,250.09687321241563,583461.0095990021,583461.0095990021
0.3,257.6933543223901,565779.5757828229,565779.5757828229
0.3,264.5550704480692,554528.2919655312,554528.2919655312
0.3,292.2779759223379,519039.7262193445,519039.7262193445
0.3,292.9297819176551,518605.424884488,518605.424884488
0.3,277.42804202287215,535498.7199754219,535498.7199754219
0.3,262.22564820719225,557864.0827664146,557864.0827664146
0.3,257.68908535903773,565962.0881820851,565962.0881820851
0.3,291.6536643017414,519694.19732790417,519694.19732790417
0.3,306.2169835287477,510411.8461834729,510411.8461834729
0.3,280.1526733640915,532462.5659119117,532462.5659119117
0.3,266.84866652598083,551187.8321338691,551187.8321338691
0.3,272.7939600767,542057.86554044,542057.86554044
0.3,261.0227129001089,560429.5357383962,560429.5357383962
0.3,279.47685917061364,533237.2707100747,533237.2707100747
0.3,263.80474766453875,555863.1167363734,555863.1167363734
0.3,289.6664588891369,521259.52422841755,521259.52422841755
0.3,261.6719646554419,559319.8839130662,559319.8839130662
0.3,252.7956469233316,576990.0320488974,576990.0320488974
0.3,264.3558238558453,555136.6289918721,555136.6289918721
0.3,297.25759959264093,515396.7917766257,515396.7917766257
0.3,297.2439609219841,515422.7253421903,515422.7253421903
0.3,306.03078159800737,510517.74666044174,510517.74666044174
0.3,309.43814507736704,508816.13756143587,508816.13756143587
